Test,RunTime
ff/extr-num,553
ff/extr-fname-err,1131
ff/extr-quant,720
ff/extr-fname,1421
aug/avahi,5889
aug/afs-cellalias,401
aug/backuppchosts,421
aug/carbon,756
aug/bbhosts,3877
aug/xml-l1,11306
aug/activemq,192
aug/cgconfig,423
aug/cgrules,333
aug/aptprefs,222
aug/apt-upd-mgr,182
aug/chrony,333
aug/access,271
aug/aptconf,293
aug/aptcrngsec,232
aug/aptconf-l1,898
aug/xml,2708
aug/cron,640
aug/cachefilesd,222
aug/approx,201
aug/bootconf,273
aug/anacron,272
aug/automaster,392
aug/channels,631
aug/alias,221
aug/auth-keys,574
aug/automounter,1028
aug/hosts,272
aug/aptsources,333
cust/workitem-probs,8470
cust/two-cap-prob,76
cust/cap-prob,76
cust/addr-probs,273
cust/bib-prob,223
cust/date-probs,123
